path,transcription
audios_segment/audio_00020.wav,अनि like तपाईको कुरा गरौ न किनभने धेरै जनालाई चाहिँ बुवाबाट influence हुन्छ के हैन अब आफु सायद मेरो एउटा साथीले भन्थ्यो के अ त्यो मलाई एकदम छुवा थियो के त्यो
audios_segment/audio_00021.wav,कुराले हजुर हजुर अ तिम्रो आमा बुवाले तिमीलाई कोही बनाउन मन छ भने त्यो चाहिँ उहाँले आफ्नो अधुरो सपना complete गर्या हो भन्नु हुन्थ्यो के हैन तपाईसँग अगाडी नि कुरा गरियो हैन तपाई आफै पनि test match हेर्ने मान्छे भने त
audios_segment/audio_00022.wav,बुझिन्छ के यो मान्छेले कति cricket बुझ्या छ भनेर हाम्रो गफ पनि भयो test matchमा हैन अनि अघि तपाईले कस्तो मजाले सोध्नुभयो के अस्ति ball पाएर Bumrahले लग्या हैन भएको चाहिँ हजुरले उहालाई पनि देखाइरहनु भा छ
audios_segment/audio_00023.wav,हैन so तपाईमा चाहिँ cricketको passion चाहिँ कहिले देखि आयो मैले दुई सय तीन देखि चाहिँ हजुरको त्यति world cup हुदा खेरि देखि cricket हेर्न थालेको भ। त्यसै regularै cricket हामी हेर्थ्यौ
audios_segment/audio_00024.wav,खेल्थ्यौ हैन हजुर रमाइलै हुन्थ्यो। हाम्रो नि dreamहरु नेपालबाट खेल्ने भन्ने हो त्यस्तो थियो अब त्यतिखेरको अहिलेको जस्तो cricket उ पनि थिएनला हैन संरचनाहरु थिएनन्
audios_segment/audio_00025.wav,कहाँ बस्नु हुन्थ्यो त्यो बेला म पहिला सानेपा बस्थ्यो ए साने बस्थे अनि हामी चाँ schoolबाटै भागेर नि कर्तिपुर अ gameहरु हेर्नलाई जान्थ्यौ हेर त बाबा त schoolबाट भागिसिन्थ्यो रे
audios_segment/audio_00026.wav,पहिला थाहा छ cricket हेर्नलाई थाहा छ बाबा भागेको सरहरुले समातेर कति पिट्नु भको थियो नि पहिला
audios_segment/audio_00027.wav,पिटाई नि खानु पिटाई पनि खाइ धेरै भयो त्यतिर त्यो time भनेपछि त्यो हाम्रो division five division four ताक five five हो five पनि पछि नै पुगेको हो हाम्रो त
audios_segment/audio_00028.wav,त्यतिखेर हामी world cup selection division wise पनि थिएन होला सायद ए दुई सय तीन चार त्यसपछि हामी त्यतिखेर हेर्यौ हाम्रो त्यो तीन baseै हुन्थ्यो नि हजुरको UAE हामी मलेसिया हो त्यतिखेर देखि हामी
audios_segment/audio_00029.wav,cricket हेर्न बुझ्न थाल्यौ सँसँै football पनि खेलिन्थ्यो। रमाइलै थियो अब त्यतिखेर त हजुरको कहिले जस्तो net छ हैन अनि बत्ति गग गई गै गर्दा खेरि पनि हामी
audios_segment/audio_00030.wav,एकदम cricket भनेछि तीन दिन पछाडि one day हुन्छ भने त निन्द्रै लाग्दैन थियो तीन दिन चा भने पनि हजुरलाई मलाई त्यस्तो किला किनभने एउटा ठुलो लहर आएको चाहिँ तपाईको T-twenty world cupमा जब नेपालले खेल्यो नि हजुर
audios_segment/audio_00031.wav,हजुर त्यो समय पछि हो के massले हेर्न थाल्यो के तर त्यो भन्दा अगाडि एउटा core crowd थियो के त्यो बेला पनि आज हाम्रो एकजना photographer दाई हुनुहुन्छ हैन उदिप दाई सो उदिप दाइले photo हाल्नु भा थियो के
audios_segment/audio_00032.wav,ठ्याक्कै आज त्यो अ यो digital जमाना अगाडी पनि नेपालको cricketमा crowd थियो भनेर के हजुर एक को photo हाल्नु भा थियो के हजुर
audios_segment/audio_00033.wav,हैन भनेपछि अब तपाई हामी relate गर्न सक्छौ के त्यो अ हजुरलाई हाम्रो Under19 ACC final थियो होला त्यतिखेर मलाई याद छ पारस दाई नै captain हुनुहुन्थ्यो
audios_segment/audio_00034.wav,त्यतिखेर नि crowd हजुरको अहिलेको जस्तै के हजुरको त्यहाँ खुट्टा अहिले तल पनि बस्न दिदैन पुरै भएर हामी त्यहाँबाट हजुरको हान फालेर जान्थ्यो के groundमा जितेपछि त्यस्तो माहोल थियो त्यतिखेर अनि
audios_segment/audio_00035.wav,entry गर्दा खेरि हजुरको main gateबाटै हामी direct entry गर्ने त्यो net sessionहरुमा जान पाइन्थ्यो त्यतिखेर अब अहिले त अलि tightनै छ अर्पित अर्की
audios_segment/audio_00036.wav,के भयो अल्छि लाग्यो हजुर खेल्न मन अहिले खेल्ने है पख ल अब तिमी अब good boy भएर भनि त खेल्ने हो तिमी तिमीले चिमस दु कुरा गर्छु ल एकछिन
audios_segment/audio_00037.wav,दादा तिमीले दादालाई चिन्छौ चिन्छु दखान त चिन्दैन चिन्छ कहाँ देख्या भन त अस्ति
audios_segment/audio_00038.wav,अर्पित किर्तिपुर गको छ cricket हेर्नलाई छ धेरै जान्छ है तिमी? अ हो? पहिला सुरा है। कस्तो लाग्छ किर्तिपुरमा game हेर्दा
audios_segment/audio_00039.wav,कस्तो लाग्छ तिमीलाई? राम्रो रमाइलो लाग्छ म पनि खेल्छु यहाँ हुन्छ? हुन्छ तिमीलाई batting गर्न मजा लाग्छ कि bowling?
audios_segment/audio_00040.wav,batting batting batting चाहिँ किन? अ मल ब्यास हो? अनि तिमीलाई battingमा कुन shot खेल्न मजा
audios_segment/audio_00041.wav,लाग्छ? अ sweep sweep ओहो sweep shot खेल्न मजा लाग्छ कोले सिकायो तिमीलाई batting गर्नलाई
audios_segment/audio_00042.wav,पहिलो देखि सिका हो बाबाले सिकाइसिछिन्न सिकाइछ हो के कसरी सिकाइसिन्छ गाली गरेर सिकाइसिन्छ कि माया गरेर सिकाइसिन्छ
audios_segment/audio_00043.wav,माया हो bowling पनि तिमी राम्रो गर्छ रे नि bowling कसले सिकायो तिमीलाई फेरी पन्सले
audios_segment/audio_00044.wav,बन्थ हो तिमी त tiktokहरुमा कस्तो famous छौ नि है तिमीलाई कति जनाले like गर्छ तिम्रो videoहरु कति जनाले हेर्छ है। messageहरु
audios_segment/audio_00045.wav,आुाछ होला नि के भन्छ मान्छहरुले तिमीलाई आ राम्रो छ राम्रो छ भन्छ हो ल बाबालाई सोध्छु है त म यही कुरा है त सुन है त एकदम careful भएर
audios_segment/audio_00046.wav,सुन्ने ल कस्तो खालको messageहरु आुाछ अ हैन अहिले त मैले त्यो message box बन्द गर्देको छु अहिले। ए हजुरको पहिला पहिला message आउँदा खेरि
audios_segment/audio_00047.wav,positive पनि आउथ्यो negative पनि आउथ्यो। अनि धेरै message आएको भएर मैले त्यो message आउने चाहिँ बन्द गर्देको छु हजुरले negative चाहिँ कस्तो आउँछ अ negative भन्दा चाहिँ यस्तो हजुरको अब अहिले सानै छ। अ हजुरको राम्रो हुदैन
audios_segment/audio_00048.wav,अहिले video नहाल्नु भन्ने हजुरको त्यस्तो senseको ए अहिले बच्चै छ अहिले देखाउनु हुदैन viral गर्नु हुदैन भन्ने हुनुहुन्थ्यो ल गयो हिड्यो कता हिडेको कता ता हिडेको
audios_segment/audio_00049.wav,बालेर completeनै नगर्ने भयो ल आुा दाता बस्ने आुा ल आुा अब तिमीले complete नगर्ने भयो आज न ल यहाँ बस हस त
audios_segment/audio_00050.wav,हामी मजाले गफ गर्ने नि हैन यही त हो podcast है ल चट्ट बस त राधा सा के हो अहिले तिमीलाई खाइलाई गफ गर्ने good boy म्याम sir हुनुहुन्छ उहा sirले अहिले
audios_segment/audio_00051.wav,पनि मैले चाहिँ बाबुलाई मात्र राख्न खोज्या थिए त्यही भएर मज सोधे नि तपाईलाई अनि अब उसले त मान्दिन। अ tension हुँदैन बच्चाको। हजुर मेरो त अब हजुरको धेरैले phone
audios_segment/audio_00052.wav,गर्नुहुन्छ नि त interview भन्नुहुन्छ। अनि यत्रो सानो बच्चालाई त मलाई मान्छे हेरेर मात्र अब मैले check हजुर अलि राम्रो मान्छे भएको हजुर हो। एकदम धन्यवाद हजुरको हैन अब के भन्दाखेरि धेरैले phone
audios_segment/audio_00053.wav,गर्नु हुन्थ्यो। पहिला त message पनि धेरैले गर्ने। मैले सिधा कुरामा दिसकेपछि नै सिधा कुराको sirले पनि अरुलाई दिउ भन्नु हुन्थ्यो। मैले हुदैन अहिले बेला भाको छैन। कुनै राम्रो भयो भने दिन्छु भने पनि
audios_segment/audio_00054.wav,अनि त्यसपछि हजुरले नै गर्नुभयो। राम्रो लाग्यो खुशी लागेर बाबा कस्तो मिठो बोल्ने है घरमा नि मिठो बोलिस हो तपाई आफु चाहिँ के job के गर्नुहुन्छ
audios_segment/audio_00055.wav,म अहिले ride sharing पठाउ हजुरको inDrive एङो भन्ने bikeमा ride sharing ए ok हजुर हजुर राम्रै छ है ride sharingको income अ अ ठिकै छ हजुर ठिकै छ राम्रो छ अहिले
audios_segment/audio_00056.wav,हजुर अनि उसलाई खेलाउने time चाहिँ दुई तिन घण्टा छुटाको छु। ए अनि then त्यस्तै छ। daily खेलाउनु हुन्छ अ daily हजुर daily मैले नभए पनि उ आफु घर भएपछि mobile हेर्ने हो।
audios_segment/audio_00057.wav,mobile भएन भने bowling batting दाम हानेर आफै उसले खेल्छ हजुर। mobileमा पनि cricket सिक्ने के हैन त्यही हजुर त्यही game खेल्छ। cricketै game खेल्छ उल्ले तिमीलाई सबभन्दा मन पर्ने cricketer को हो
audios_segment/audio_00058.wav,बाबु Virat Kohli किन मन पर्छ Virat Kohli के उ drive होली
audios_segment/audio_00059.wav,champion क drive हान्छ नि त्यस्तो हान्न मन लाग्छ हो तिमीलाई कति चोटी century हान्न मन लाग्छ धेरै धेरै
audios_segment/audio_00060.wav,छ है तर कस्तो राम्रो खेल्छ because त्यो basics हुन् नि त हैन अहिले नै कस्तो मिलेको देखिन्छ हैन त्यो हिसाबले अब plus तपाई आफै अहिले
audios_segment/audio_00061.wav,groom गरिरहनु भा छ एक pointमा त तपाईलाई fill अप आ अघि भन्नु पनि भयो हैन bowlingको लागि कोहि coach हेर्ने भनेर अब नेपालको coachलाई पनि सायद एउटा kind of challenge हुन्छ होला के किनभने यति सानो उमेरमा मा
audios_segment/audio_00062.wav,यसरी ठिलिरहनु भा छ उहा हैन त्यसको लागि कोहि academy कोहि कतैबाट approach आको छ कि छैन academyबाट त आको छैन। अनि अहिले हाम्रै
audios_segment/audio_00063.wav,उसको schoolमा पहिलाको schoolमा चाहिँ academy खोल्नु भको छ उजक कारणले अनि त्यहाँ राजकुमार sir हुनुहुन्छ। त्यहाँबाट मैले हल्का हल्का हजुरको fielding अब यो physically अनि bowlingको लागि
audios_segment/audio_00064.wav,tips हजुर लिन्छु। battingको चाहिँ अझै म आखै गर्छ भन्ने सोच छ हजुरलाई हो बाबाले सिकेसिन्छ त अनि पढ्न चाहिँ कहाँ एक खेले उसलाई नि सोध्नु न कहाँ पढिरा छौ बाबु तिमी कुन
audios_segment/audio_00065.wav,school आर हो आरम्भ हाम्रो यहाँ office नजिकै छ नि थाहा छ आज तिमी school नगको है podcastमा आुनलाई है हो
audios_segment/audio_00066.wav,school जान मन लाग्छ कि मन लाग्दैन लाग्छ हो schoolमा के भन्नुहुन्छ तिमी cricket खेलेको देखेर के भन्नुहुन्छ cricket खेल्छ हो अ
audios_segment/audio_00067.wav,राम्रो खेल्छ भन्नुहुन्छ कि ए राम्रो खेल्दैन अपितले भन्नुहुन्छ कि? अ घर के भनेक हो? साथीहरुले के भन्छ तिमीलाई
audios_segment/audio_00068.wav,हो बिस्तारै ball फाल। बिस्तारै ball फालो भन्छ। तिम्रो bowling खेल्न सक्दैन हो साथीहरुले? न fast। हो नि fast।
audios_segment/audio_00069.wav,हो? अनि तिमी right batting सरी left batting right bowling त्यो त राम्रो combination हो नि। अ हजुर यसमा चाहिँ अब उ सानै थियो। हजुरको डेढ दुई वर्षै हुँदा खेरि अर्दत अ डेढ दुई
audios_segment/audio_00070.wav,वर्षै हुँदाखेरि चाहिँ हजुरको मलाई lefty मन पर्ने अ उसको right hand left hand भन्ने थाहा थिएन त्यतिखेर अ अनि leftyमा हल्का हल्का हजुरको उसको swing मात्रै मैले गराउन खोजेको। त्यतिखेर
audios_segment/audio_00071.wav,ball फ्याल्थ्यो उसले swing गराउथ्यो। हजुरको अनि चार वर्ष पुगिसकेपछि चाहिँ मैले bat र ball मात्र दिएको थिए। त्यतिर padहरु केहि पनि थिएन। अनि उसको swing चाहिँ natural जस्तो
audios_segment/audio_00072.wav,लाग्थ्यो के हजुरलाई म cricket हेर्दा खेरि उसको bat swing मात्रै उ leg तिर मात्र हान्ने अनि bat र ball मैले लिदिसकेपछि हजुरको pad set लिदिए। त्यसपछि म टोखा भूतखेल जान्थे हजुरको। अ
audios_segment/audio_00073.wav,हजुरलाई सुरुको दिन चाहिँ त्यो दिपेश भाइले एकदम हुन्छ नि motivate गरेको मलाई अघि मैले दिपेश भाइले मलाई अनि त्यसपछि अहिले हजुरको त्यहाँ राजेश भाइ हुनुहुन्छ को ballहरु त्यो भुतखेल ठुलो चौरछ।
audios_segment/audio_00074.wav,अब bowling गर्दा खेरि पनि हजुरको दिनमा दुई तिन सय ball त उसले खेल्छ। fielding गर्न एकदम गाह्रो हुने। अनि राजेश भाइले एकदम help गर्छ भनेर fielding गरेर अनि हजुरको को त्यहाँ गको दुई महिना तीन
audios_segment/audio_00075.wav,महिना पछि त हजुरको उसले सिधा सिधा खेल्न थाल्यो। bat swing चाहिँ एकदम हजुरको उसको naturalनै जस्तो के हजुर एकदम राम्रो छ एकदम छ के हजुर अनि अहिले चाहिँ eye hand coordination पनि राम्रो भको जस्तो लाग्छ।
audios_segment/audio_00076.wav,हजुरले म चाहिँ यसको हजुरको videoहरु बनाएपछि zoom गरेर हेर्छु के। केहि मिलेको छ छैन उसले last momentमा पनि ballलाई focus गराउदो रहेछ। focus गरेको हुन्छ। अनि bowling पनि हजुरको एकदम पहिलै देखि
audios_segment/audio_00077.wav,गर्थे bowling चाहिँ म गराउन चाहन्न थिए। अनि हजुरको bowling चाहिँ उसले अब कस्तो हुन्छ भने batting गरेपछि bowling गर्नुपर्छ भन्ने छ उसलाई match खेल्ने match खेल्ने उसको match खेल्ने नै हुन्छ। उसलाई batting भन्दा नि fielding र bowling
audios_segment/audio_00078.wav,धेरै गर्नुपर्छ अनि हजुरको bowling गर्दा खेरि leg spin था्याल्ने leg spin फाल्दा खेरि कहिले यता भित्र कहिले बाहिर गको मैले त्यति अब त्यही माटो छ माटोमा भित्र बाहिर भयो भनेर अनि replayमा हेर्दा
audios_segment/audio_00079.wav,खेरि हजुरको zoom गरेर हेर्दा त googly जस्तो पनि आको रहेछ variation अब सधै त उसले फ्याल्दैन देखिदो रहेछ भित्र पनि अनि त्यो पनि मैले tiktokमा भन
audios_segment/audio_00080.wav,facebookहरुमा हालेको थिए राम्रै response आको हजुरको त्यसमा अनि खुश लाग्छ अहिले हजुरको fast bowling पनि bowling finishing त राम्रो छैन run एकदम राम्रो मिलाको छ।
audios_segment/audio_00081.wav,ए अब त्यसमा दोदार छ अब spinner गरोस कि fast bowling गरोस नेपाललाई चाहिै fast bowling हो भन्दा नि हजुरको अहिले देखि नै jet अलि height बढ्यो भने राम्रै fast bowler निकाल्न
audios_segment/audio_00082.wav,सकिन्छ भने मेरो चाहिँ एउटा छ dreamनै भयो हजुरको fast bowling पनि गर्छौ तिमीि मलाई spin गर्न मजा लाग्छ कि fast गर्न मजा लाग्छ fast हो? अ
audios_segment/audio_00083.wav,worldमा fast bowling गर्ने को player मनपर्छ? अ दिपता हैन अस्ति कोल्ले five wicket haul लेको? कसले
audios_segment/audio_00084.wav,अ हजुर Mohammed Siraj मलाई नि खुब मन पर्छ Siraj सम्म होला हैन मलाई त्यो मान्छेको struggle story पनि हैन त्यो
audios_segment/audio_00085.wav,अ अस्ति न Australia tourमा गएर I think covid अगाडी जुन Indiaले खेल्या थियो नि हजुर sir त्यो बेला impress परेको के अनि त्यो मान्छे फेरी Bumrah नखेल्दा उ चम्किन्छ के
audios_segment/audio_00086.wav,चम्किन्छ हैन त्यो clutch player भन्छ नि त्यसरी थाहा हुन्छ के मलाई नि उसको rhythmहरु चाहिँ हजुरको long term जाने player जस्तो लाग्छ के हजुरको अब Bumrahहरु पनि त sudden timeमा उनीहरु
audios_segment/audio_00087.wav,नसपान legend न होलान उनीहरु ठुलो हैन तर Siraj चाहिँ उसको जुन rhythm हेर्दा खेरि चाहिँ long term चान्जन के भन्ने लाग्छ। Bumrahको त bowling actionले नि injury धेरै हुने chances हुन्छ हैन Sirajको चाहिँ
audios_segment/audio_00088.wav,एउटा proper fast bowlerको उ छ है सो कस्तो मिठो जान्छ हाम्रो अर्पितले पनि Bumrahको गर्छ नि है कहिलेकाहिले हो अनि बाबाले गाली गर्नुहुन्छ है अहिले fast गरिहाल्नु पर्दैन नि पहिला
audios_segment/audio_00089.wav,batting focus गर्ने batting राम्ररी सिक्ने तिमी त सामै छ नि copy गर्मी नि है धेरैको copy ल बाबासँग बस्द ल आुा एकछिन ल
audios_segment/audio_00090.wav,अहिले दिन्छु म batहरु ल एकछिन बाबासँग बस म दिन्छु पहिला बाबासँग बस ल है ल म ल बर bowler बस्छ उसले अब ball चलाुाछ
audios_segment/audio_00091.wav,जे होस् राम्रो decision गरेछु दुबैलाई स्पे त अर्पित राख्ने त गा अर्पित तिमीलाई एउटा कुरा सोधम सोधम अ सोधम हजुर
audios_segment/audio_00092.wav,सोध तिमी ball कसरी समात्न मन लाग्छ fast भयो नि spin कसरी समात्छौ हो कसरी फाल्छौ वा past चाहिँ कसरी फाल्छौ
audios_segment/audio_00093.wav,वा कसले सिकायो तिमीलाई होस् video हेर्दै सिक्या होला हजुर bowling त उसले video हेर्दै सिकेछ मैले try गर्ने
audios_segment/audio_00094.wav,कोहि आयो हो अनि batting र bowlingमा choose गर्न दियो भने कुन गर्छौ batting र दुइटै खेल्ने एउटा मात्र choose गर ल bat
audios_segment/audio_00095.wav,आज खेल्न लाको हामी तिमी कि batting गर कि bowling गर भने के गर्ने? batting batting गर्ने हो त्यलाई padहरु helmetहरु सबै लाएर खेल्न मन लाग्छ कि
audios_segment/audio_00096.wav,नलाइकन खेल्न मन लाग्छ खेल्ने pad लाएर खेल्ला हस प्री मस्तै लाख चाख्ने ल चाख
audios_segment/audio_00097.wav,तितो छ [हास्य] उसलाई गुल्दे मात्रै मन पर्छ हो है पाबले खाुादैन नि यस्तो त दिक्शा दिदीले
audios_segment/audio_00098.wav,मात्रै हानु हुन्छ है हो अर्पितलाई अस्ति NPLमा I think कर्णालीको जर्सीमा पनि अर्पित लेखेको थियो हजुरको के story हो त्यसको अ यस्तो हजुरको हजुरको उ tiktokमा viral
audios_segment/audio_00099.wav,भएपछि हजुर हजुरको धेरै message आुादा खेरि मैले message चाहिँ request बन्द गर्दे जी [सङ्गीत]
audios_segment/audio_00100.wav,अनि को के चाहियो Arpit एकछिन अहिले म तिमीलाई के के दिन्छु हेरेर जाने बेला तिम्रो लागि के के good boy भ अब ball दिएपछि त ballमा यहाँ सोफैमा राख्दियो अर्पिता अब हट्न पाइ
audios_segment/audio_00101.wav,हजुर हजुर हजुर अ हजुरको viral भएपछि राम्रो हुन्छ भनेर NPLको तीनटा teamबाट मलाई message आको थियो हजुरको Karnali Yaks बाट चाहिँ हजुरको तीनटा
audios_segment/audio_00102.wav,teamबाट आुादा खेरि उहाहरुले चाहिँ हजुर ला अलि पछि अब decision दिनु भएन Karnali Xबाट चाहिँ अब को player हुन्छ सबै थाहा हुदा खेरि हाम्रै team
audios_segment/audio_00103.wav,memberहरु हजुरको Pawan sir management हुनुहुन्छ एकदम राम्रो लाग्यो गए राम्रै response गर्नुभयो। अब त्यो यति सानो उमेरमा नि उसले पाको ठुलो
audios_segment/audio_00104.wav,कुरा थियो। अनि हजुरको गइसकेपछि उसले आठ वटा match हेर्यो Karnali Xको। अ हामी त run र wicketमा हेर्थ्यौ भने उसले खेलाडीले के गर्छ त्यहाँ कसरी fielding
audios_segment/audio_00105.wav,गर्छ। batting गर्दा खेरि कसरी उसले त्यस्तो हेरेर गरेपछि हजुर Karnali Xको त्यो आठ वटा game हेरेर आइसकेपछि उसको battingहरुमा धेरै सुधार भयो फेरी। सोचमा सुधार भयो। अब त्यतिखेर अगाडी त्यो
audios_segment/audio_00106.wav,Karnali Xको हेर्नु भन्दा अगाडि चाहिँ मैले उसलाई लाई फकाउनु पर्थ्यो batting गर्नलाई पनि। अब mobile दिन्छु। कहिले कहिले गाली पनि गरिन्थ्यो खेल भनेर तर त्यहाँ भए त अभिले चाहिँ हजुरको उसले बाबा
audios_segment/audio_00107.wav,match खेलौ भनेर मलाई सुतेको बेला नि जित्दिनु भा छ यस्तो भैक्या छ त्यो हुन्छ नि ठाउँमा गएर हेरिसकेपछि त्यस्तो फरक आुादो रहेछ। तिमी Karnali Yaksको game हेर्न गको याद छ
audios_segment/audio_00108.wav,को मन परेको थियो हो देउ दाई मन पर्या थियो के मन पर्यो देउ दाईको हो ब
audios_segment/audio_00109.wav,हो batting होला batting गुल्लसन दादाको bowling भन न गुल्लु दादा बिर्च्यो उसले अनि शिखर धनलाई देख्य
audios_segment/audio_00110.wav,देखे हो तिमीलाई त्यहाँ game हेर्न जादा खेरि अ school सधै school जाने कि cricket हेर्न जाने भने कुन choose गर्छौ
audios_segment/audio_00111.wav,हो? के किन मनपर्छ तिमीलाई? अ
audios_segment/audio_00112.wav,दिदी मजा आुाछ। हो? मजा आुाछ? अ हो तिमीले पारस दाइलाई भेटरा छौ पारस खड्कालाई भेट्या छु भेटछु? अ पारस तपाईलाई सँै त भको छ तर
audios_segment/audio_00113.wav,त्यस्तरी कुराकानी भको छैन सँै त उसलाई भेट्नु भा छ अ त्यसरी हैन संगसंगै भको छौ तर कुराकानी केहि पनि छैन मैले NPLमा जाथ दुई तिन चोटी संगसंगै
audios_segment/audio_00114.wav,अ अहिले जाने कहिले हजुर अब त्यो अहिले आुनु अहिले आुाछ खाजा आुाछ नि ल बाजेको सिक्वाबाट lastमा हामी खाजा खाएर अनि घर जाने ल
audios_segment/audio_00115.wav,हस्पिटला ok दात चाहिँ कसले खायो तिम्रो मुसाले अनि मुसालाई दात खानदान दिनुहुन्छ त [सङ्गीत]
audios_segment/audio_00116.wav,ल अहिले खेल्ने पोख ह म खेला तिमीलाई खेल्न त बोलाको मैले अहिले खेल्ने ल बाहिर ठाउँ छ नि देख्यो नि अघि है कति खेला हु अब म दादाको bat पनि
audios_segment/audio_00117.wav,देखाुाछु दादाको अघि मैले त्य ball देखाए है bat पनि छ दादाको bat पनि देखाुाछु ल छ छ नि लुकाएर राखे छु। bat देख्यौ भने त तिमी त खेल्न गइहाल्छ नि दादालाई छोडेर
audios_segment/audio_00118.wav,हस हस भ ok अलि हजुर एकछिन बाबुसँ गफ गर्ने तिमी तिमीलाई बाबालाई केहि सोध्न मन लाग्यो भने के सोच्छौ आुा two plus two कति आयो ह
audios_segment/audio_00119.wav,two plus two कति two plus two कति हुन्छ उसको अहिले चाहिँ हजुरको math सिकाइरहनु भा छ जस्तै ए उसले मलाई हैन जोलाई पनि coachलाई गएर पनि seven plus two nine plus two कति हुन्छ त्यही
audios_segment/audio_00120.wav,सोधिराको हुन्छ के अनि हजुरलाई अहिले two plus two कति हुन्छ भनेर सोधिरा ए उसलाई अहिले schoolमा के कस्तो छ I think कसैले support गर्नुभ छ अ अहिले स्वस्तिमा खड्का
audios_segment/audio_00121.wav,हजुर स्वस्तिमा खड्का हामी actors हुनुहुन्छ हजुर हजुर हजुर उहा through नै गको हो म ए उहाले नै गर्नु भको छ अहिले के like फिज हो वाुा great great गर्नु भको छ
